domain	type	auto_value	value
sbcusd.com	no cookie dialog	True	True
kuranvemeali.com	no cookie dialog	True	True
globaltalkdaily.com	no cookie dialog	True	True
coronaca.gov	no cookie dialog	True	True
vdforum.ru	no cookie dialog	True	True
equalityohio.org	no cookie dialog	True	True
espalda.org	no cookie dialog	True	True
careersarkarijobs.com	no cookie dialog	True	True
ilgeniodellostreaming.bet	no cookie dialog	True	True
qj888.cn	no cookie dialog	True	True
electric-skateboard.builders	no cookie dialog	True	True
cnvrg.io	no cookie dialog	True	True
yuanta.co.th	no cookie dialog	True	True
rutor-search.info	no cookie dialog	True	True
audi.it	DP1	False	False
audi.it	DP2	False	False
audi.it	DP3	False	False
audi.it	DP4	True	True
audi.it	DP5	True	True
audi.it	DP6	True	True
audi.it	DP7	False	False
audi.it	DP8	False	False
audi.it	time to reject cookies manually	3.48670960000027	3.48670960000027
audi.it	number of clicks to reject cookies	0	0
audi.it	DP10	unconfirmed	False
audi.it	DP12	unconfirmed	False
audi.it	DP13	unconfirmed	False
audi.it	DP14	unconfirmed	False
audi.it	DP15	unconfirmed	False
ignorethecode.net	no cookie dialog	True	True
jonesreport.com	no cookie dialog	True	True
actualauction.com	no cookie dialog	True	True
vertexsmb.com	DP1	True	True
vertexsmb.com	DP2	False	False
vertexsmb.com	DP3	False	False
vertexsmb.com	DP4	True	True
vertexsmb.com	DP5	False	False
vertexsmb.com	DP6	False	False
vertexsmb.com	DP7	False	False
vertexsmb.com	DP8	True	True
vertexsmb.com	time to reject cookies manually	5.42483979999997	5.42483979999997
vertexsmb.com	number of clicks to reject cookies	1	1
vertexsmb.com	DP10	unconfirmed	True
vertexsmb.com	DP12	unconfirmed	False
vertexsmb.com	DP13	unconfirmed	False
vertexsmb.com	DP14	unconfirmed	False
vertexsmb.com	DP15	unconfirmed	False
lsfoods.com	no cookie dialog	True	True
myhoteltrip.com	no cookie dialog	True	True
dailycivil.com	DP1	False	False
dailycivil.com	DP2	True	True
dailycivil.com	DP3	True	True
dailycivil.com	DP4	True	True
dailycivil.com	DP5	True	True
dailycivil.com	DP6	False	False
dailycivil.com	DP7	False	False
dailycivil.com	DP8	False	False
dailycivil.com	time to reject cookies manually	8.50620040000013	8.50620040000013
dailycivil.com	number of clicks to reject cookies	2	2
dailycivil.com	DP10	unconfirmed	True
dailycivil.com	DP12	unconfirmed	False
dailycivil.com	DP13	unconfirmed	False
dailycivil.com	DP14	unconfirmed	False
dailycivil.com	DP15	unconfirmed	False
i3investor.com	DP1	True	True
i3investor.com	DP2	False	False
i3investor.com	DP3	False	False
i3investor.com	DP4	False	False
i3investor.com	DP5	False	False
i3investor.com	DP6	False	False
i3investor.com	DP7	False	False
i3investor.com	DP8	False	False
i3investor.com	time to reject cookies manually	3.56574899999987	3.56574899999987
i3investor.com	number of clicks to reject cookies	0	0
i3investor.com	DP10	unconfirmed	True
i3investor.com	DP12	unconfirmed	False
i3investor.com	DP13	unconfirmed	False
i3investor.com	DP14	unconfirmed	False
i3investor.com	DP15	unconfirmed	False
rmutp.ac.th	DP1	True	True
rmutp.ac.th	DP2	False	False
rmutp.ac.th	DP3	False	False
rmutp.ac.th	DP4	True	True
rmutp.ac.th	DP5	False	False
rmutp.ac.th	DP6	False	False
rmutp.ac.th	DP7	False	False
rmutp.ac.th	DP8	False	False
rmutp.ac.th	time to reject cookies manually	3.08676149999974	3.08676149999974
rmutp.ac.th	number of clicks to reject cookies	0	0
rmutp.ac.th	DP10	unconfirmed	True
rmutp.ac.th	DP12	unconfirmed	False
rmutp.ac.th	DP13	unconfirmed	False
rmutp.ac.th	DP14	unconfirmed	False
rmutp.ac.th	DP15	unconfirmed	False
realmeservice.com	no cookie dialog	True	True
artlosangelesfair.com	no cookie dialog	True	True
nooka.com	no cookie dialog	True	True
zszywka.pl	DP1	False	False
zszywka.pl	DP2	True	True
zszywka.pl	DP3	True	True
zszywka.pl	DP4	False	False
zszywka.pl	DP5	True	True
zszywka.pl	DP6	False	False
zszywka.pl	DP7	True	True
zszywka.pl	DP8	False	False
zszywka.pl	time to reject cookies manually	39.4005941999994	39.4005941999994
zszywka.pl	number of clicks to reject cookies	5	5
zszywka.pl	DP10	unconfirmed	True
zszywka.pl	DP12	unconfirmed	True
zszywka.pl	DP13	unconfirmed	False
zszywka.pl	DP14	unconfirmed	True
zszywka.pl	DP15	unconfirmed	False
intaldom.ru	no cookie dialog	True	True
quadrantresource.com	no cookie dialog	True	True
followcj.com	no cookie dialog	True	True
carid.com	DP1	False	False
carid.com	DP2	False	False
carid.com	DP3	False	False
carid.com	DP4	False	False
carid.com	DP5	False	False
carid.com	DP6	True	True
carid.com	DP7	False	False
carid.com	DP8	False	False
carid.com	time to reject cookies manually	2.04925089999961	2.04925089999961
carid.com	number of clicks to reject cookies	0	0
carid.com	DP10	unconfirmed	True
carid.com	DP12	unconfirmed	False
carid.com	DP13	unconfirmed	False
carid.com	DP14	unconfirmed	False
carid.com	DP15	unconfirmed	False
atsacoustics.com	no cookie dialog	True	True
frenchbulldogpuppyzone.com	no cookie dialog	True	True
alvyray.com	no cookie dialog	True	True
sastodeal.com	no cookie dialog	True	True
cleansimpleeats.com	no cookie dialog	True	True
wcoop.ne.jp	no cookie dialog	True	True
soanimesitehd.com	DP1	True	True
soanimesitehd.com	DP2	False	False
soanimesitehd.com	DP3	False	False
soanimesitehd.com	DP4	True	True
soanimesitehd.com	DP5	False	False
soanimesitehd.com	DP6	False	False
soanimesitehd.com	DP7	False	False
soanimesitehd.com	DP8	False	False
soanimesitehd.com	time to reject cookies manually	1.66127700000015	1.66127700000015
soanimesitehd.com	number of clicks to reject cookies	0	0
soanimesitehd.com	DP10	unconfirmed	True
soanimesitehd.com	DP12	unconfirmed	False
soanimesitehd.com	DP13	unconfirmed	False
soanimesitehd.com	DP14	unconfirmed	False
soanimesitehd.com	DP15	unconfirmed	False
develz.org	no cookie dialog	True	True
dutchwatersector.com	DP1	False	False
dutchwatersector.com	DP2	False	False
dutchwatersector.com	DP3	False	False
dutchwatersector.com	DP4	False	False
dutchwatersector.com	DP5	False	False
dutchwatersector.com	DP6	False	False
dutchwatersector.com	DP7	False	False
dutchwatersector.com	DP8	False	False
dutchwatersector.com	time to reject cookies manually	4.53193310000006	4.53193310000006
dutchwatersector.com	number of clicks to reject cookies	1	1
dutchwatersector.com	DP10	unconfirmed	False
dutchwatersector.com	DP12	unconfirmed	False
dutchwatersector.com	DP13	unconfirmed	False
dutchwatersector.com	DP14	unconfirmed	False
dutchwatersector.com	DP15	unconfirmed	False
paladcoin.com	no cookie dialog	True	True
santacruzfincaraiz.com	no cookie dialog	True	True
virginradio.fr	DP1	False	False
virginradio.fr	DP2	True	True
virginradio.fr	DP3	True	True
virginradio.fr	DP4	True	True
virginradio.fr	DP5	True	True
virginradio.fr	DP6	False	False
virginradio.fr	DP7	False	False
virginradio.fr	DP8	False	False
virginradio.fr	time to reject cookies manually	9.9530750999993	9.9530750999993
virginradio.fr	number of clicks to reject cookies	2	2
virginradio.fr	DP10	unconfirmed	True
virginradio.fr	DP12	unconfirmed	False
virginradio.fr	DP13	unconfirmed	False
virginradio.fr	DP14	unconfirmed	False
virginradio.fr	DP15	unconfirmed	False
btconnect.com	no cookie dialog	True	True
hiddencam.tv	no cookie dialog	True	True
penelope-jolicoeur.com	no cookie dialog	True	True
njjixiang.com	no cookie dialog	True	True
nalo.fr	DP1	False	False
nalo.fr	DP2	False	False
nalo.fr	DP3	False	False
nalo.fr	DP4	True	True
nalo.fr	DP5	False	False
nalo.fr	DP6	False	False
nalo.fr	DP7	False	False
nalo.fr	DP8	False	False
nalo.fr	time to reject cookies manually	0.695146000000023	0.695146000000023
nalo.fr	number of clicks to reject cookies	0	0
nalo.fr	DP10	unconfirmed	True
nalo.fr	DP12	unconfirmed	False
nalo.fr	DP13	unconfirmed	False
nalo.fr	DP14	unconfirmed	False
nalo.fr	DP15	unconfirmed	False
danielbarbara.com	no cookie dialog	True	True
monetizd.com	no cookie dialog	True	True
24antibiotics.com	no cookie dialog	True	True
sleepfreaks-dtm.com	no cookie dialog	True	True
famousinreal.life	no cookie dialog	True	True
tempstar.com	DP1	False	False
tempstar.com	DP2	False	False
tempstar.com	DP3	False	False
tempstar.com	DP4	True	True
tempstar.com	DP5	True	True
tempstar.com	DP6	False	False
tempstar.com	DP7	False	False
tempstar.com	DP8	False	False
tempstar.com	time to reject cookies manually	7.01547780000055	7.01547780000055
tempstar.com	number of clicks to reject cookies	2	2
tempstar.com	DP10	unconfirmed	True
tempstar.com	DP12	unconfirmed	False
tempstar.com	DP13	unconfirmed	False
tempstar.com	DP14	unconfirmed	False
tempstar.com	DP15	unconfirmed	False
recrutainment.de	no cookie dialog	True	True
theunlikelybaker.com	no cookie dialog	True	True
ray.io	DP1	True	True
ray.io	DP2	False	False
ray.io	DP3	False	False
ray.io	DP4	False	False
ray.io	DP5	False	False
ray.io	DP6	False	False
ray.io	DP7	False	False
ray.io	DP8	False	False
ray.io	time to reject cookies manually	2.14142900000024	2.14142900000024
ray.io	number of clicks to reject cookies	0	0
ray.io	DP10	unconfirmed	True
ray.io	DP12	unconfirmed	False
ray.io	DP13	unconfirmed	False
ray.io	DP14	unconfirmed	False
ray.io	DP15	unconfirmed	False
shroudeddslbusbar.com	no cookie dialog	True	True
knihovna.cz	no cookie dialog	True	True
kuraferma.ru	no cookie dialog	True	True
reca-niger.org	no cookie dialog	True	True
athome.co.jp	no cookie dialog	True	True
ustrendingtoday.com	no cookie dialog	True	True
nxmu.edu.cn	no cookie dialog	True	True
pretty-petals.com	no cookie dialog	True	True
selloff.us	no cookie dialog	True	True
cghearth.com	no cookie dialog	True	True
drogon.tv	no cookie dialog	True	True
winmd5.com	no cookie dialog	True	True
huobi.com	no cookie dialog	True	True
fooddive.com	DP1	True	True
fooddive.com	DP2	False	False
fooddive.com	DP3	False	False
fooddive.com	DP4	False	False
fooddive.com	DP5	False	False
fooddive.com	DP6	False	False
fooddive.com	DP7	False	False
fooddive.com	DP8	False	False
fooddive.com	time to reject cookies manually	3.1461889000002	3.1461889000002
fooddive.com	number of clicks to reject cookies	0	0
fooddive.com	DP10	unconfirmed	True
fooddive.com	DP12	unconfirmed	False
fooddive.com	DP13	unconfirmed	False
fooddive.com	DP14	unconfirmed	False
fooddive.com	DP15	unconfirmed	False
bnr.de	no cookie dialog	True	True
hommelhof.nl	no cookie dialog	True	True
physiciansmutual.com	no cookie dialog	True	True
cau-edu.net.cn	no cookie dialog	True	True
chronometre-en-ligne.com	DP1	True	True
chronometre-en-ligne.com	DP2	False	False
chronometre-en-ligne.com	DP3	False	False
chronometre-en-ligne.com	DP4	True	True
chronometre-en-ligne.com	DP5	False	False
chronometre-en-ligne.com	DP6	False	False
chronometre-en-ligne.com	DP7	False	False
chronometre-en-ligne.com	DP8	False	False
chronometre-en-ligne.com	time to reject cookies manually	3.22446969999964	3.22446969999964
chronometre-en-ligne.com	number of clicks to reject cookies	0	0
chronometre-en-ligne.com	DP10	unconfirmed	True
chronometre-en-ligne.com	DP12	unconfirmed	False
chronometre-en-ligne.com	DP13	unconfirmed	False
