domain	status	timestamp	time	category
vietq.vn	no dialog found	2022-02-13 14:32:26	23.5570728000002	News and Media
hatchresources.com	no dialog found	2022-02-13 14:32:49	25.7340576999995	Advertising
ezecom.com.kh	completed	2022-02-13 14:33:15	82.2606462999993	Information Technology
colabearnsk.ru	no dialog found	2022-02-13 14:34:37	9.41327500000079	Shopping
kissme.com.tw	no dialog found	2022-02-13 14:34:47	31.7449496999998	Business
roaddistance.in	no dialog found	2022-02-13 14:35:18	16.9720682000007	Society and Lifestyles
ag.gov	no dialog found	2022-02-13 14:35:35	106.359245399999	Government and Legal Organizations
albumrain.ru	no dialog found	2022-02-13 14:37:21	33.1320095999999	Streaming Media and Download
weed420.info	no dialog found	2022-02-13 14:37:54	16.7174147000005	Business
equso.com	no dialog found	2022-02-13 14:38:11	15.4798816999992	Phishing
onlinegamesracing.com	completed	2022-02-13 14:38:27	89.8161564000002	Games
selcoop.ru	no dialog found	2022-02-13 14:39:56	24.8616270000002	Business
customerservicesolutions.us	no dialog found	2022-02-13 14:40:22	11.611076000001	Information Technology
viirfv.com	no dialog found	2022-02-13 14:40:33	9.62318270000105	Meaningless Content
immig-us.com	no dialog found	2022-02-13 14:40:42	17.4314875	Travel
congreso.es	completed	2022-02-13 14:41:00	88.8140984999991	Government and Legal Organizations
cosyclub.co.uk	no dialog found	2022-02-13 14:42:29	47.4829133000003	Restaurant and Dining
badeparadies-schwarzwald.de	completed	2022-02-13 14:43:16	267.836980399999	Travel
rockvilleaudio.com	no dialog found	2022-02-13 14:47:44	20.6356974000009	Personal Vehicles
eyeofthepsychic.com	no dialog found	2022-02-13 14:48:05	17.4167832999992	Dynamic Content
reflector.com	no dialog found	2022-02-13 14:48:22	8.97225980000076	News and Media
mobogift.com	no dialog found	2022-02-13 14:48:31	37.2100138000005	Newsgroups and Message Boards
zgjtb.com	no dialog found	2022-02-13 14:49:08	38.8059025999992	News and Media
naija247news.com	no dialog found	2022-02-13 14:49:49	34.2651717999997	News and Media
danzig-verotik.com	no dialog found	2022-02-13 14:50:21	10.4924639000001	Entertainment
nhk-ed.co.jp	no dialog found	2022-02-13 14:50:32	15.941149799999	News and Media
